BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     482	   2526031 ns/op	  39.15 MB/s	 4939288 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     470	   2517552 ns/op	  39.28 MB/s	 4939270 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     482	   2526479 ns/op	  39.15 MB/s	 4939278 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     472	   2515347 ns/op	  39.32 MB/s	 4939280 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     471	   2524695 ns/op	  39.17 MB/s	 4939269 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     482	   2537428 ns/op	  38.98 MB/s	 4939278 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     462	   2520121 ns/op	  39.24 MB/s	 4939277 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     472	   2541665 ns/op	  38.91 MB/s	 4939278 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     477	   2576147 ns/op	  38.39 MB/s	 4939275 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     480	   2528556 ns/op	  39.11 MB/s	 4939276 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3916	    303263 ns/op	  39.29 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3860	    312053 ns/op	  38.18 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3913	    307353 ns/op	  38.76 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3784	    302890 ns/op	  39.33 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3927	    305255 ns/op	  39.03 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4075	    299509 ns/op	  39.78 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4015	    305004 ns/op	  39.06 MB/s	  604879 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4002	    306254 ns/op	  38.90 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3939	    304913 ns/op	  39.07 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3669	    305600 ns/op	  38.99 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3414052	       359.0 ns/op	  19.50 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3317202	       357.2 ns/op	  19.60 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3365152	       349.6 ns/op	  20.02 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3340635	       357.8 ns/op	  19.56 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3434878	       351.6 ns/op	  19.91 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3465811	       355.7 ns/op	  19.68 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3392193	       349.2 ns/op	  20.05 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3395695	       352.0 ns/op	  19.89 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3498160	       359.1 ns/op	  19.49 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3402786	       344.0 ns/op	  20.35 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  933657	      1276 ns/op	  46.23 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  907155	      1300 ns/op	  45.40 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  908725	      1285 ns/op	  45.91 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  815938	      1307 ns/op	  45.16 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  870315	      1285 ns/op	  45.90 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  867327	      1300 ns/op	  45.37 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  891674	      1288 ns/op	  45.81 MB/s	    2064 B/op	      21 allocs/op
