impl,mode,workload,class,n,successes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
json-canon,canonicalize,bad-literal,invalid,3,0,6.418078,7.166510,7.233037,6.636215,2.116333,4.928000,7040.000000,0.000000
schubfach,canonicalize,bad-literal,invalid,3,0,5.471219,7.073904,7.216365,5.898895,0.948000,5.263000,6986.666667,0.000000
json-canon,verify,bad-literal,invalid,3,0,6.548288,7.513510,7.599308,6.412579,2.076000,4.724000,7040.000000,0.000000
schubfach,verify,bad-literal,invalid,3,0,3.074622,3.369861,3.396104,3.104081,0.305667,2.957667,7040.000000,0.000000
json-canon,canonicalize,bad-number,invalid,3,0,6.120463,6.129356,6.130146,6.027809,1.789333,4.627333,7040.000000,0.000000
schubfach,canonicalize,bad-number,invalid,3,0,6.137293,7.357062,7.465486,6.355206,0.626333,6.071333,7040.000000,0.000000
json-canon,verify,bad-number,invalid,3,0,7.229008,8.135552,8.216134,7.304681,1.599667,6.229667,7040.000000,0.000000
schubfach,verify,bad-number,invalid,3,0,6.606178,7.118284,7.163805,6.409914,0.917000,5.804000,7040.000000,0.000000
json-canon,canonicalize,deep,valid,3,3,7.316273,7.693561,7.727098,7.444425,1.536667,6.452333,7200.000000,0.148458
schubfach,canonicalize,deep,valid,3,3,6.476029,6.507840,6.510667,6.401748,1.282333,5.559667,7200.000000,0.172581
json-canon,verify,deep,valid,3,3,6.773201,7.253373,7.296055,6.830506,2.344667,4.998000,7200.000000,0.162144
schubfach,verify,deep,valid,3,3,6.294519,6.864885,6.915584,6.484802,1.022333,5.929667,7200.000000,0.170688
json-canon,canonicalize,large,valid,3,3,41.231321,46.907838,47.412417,40.258471,49.846000,13.185667,12640.000000,11.277561
schubfach,canonicalize,large,valid,3,3,70.344343,74.023202,74.350212,66.490162,97.957333,31.448667,11733.333333,6.768631
json-canon,verify,large,valid,3,0,54.655903,57.299535,57.534525,54.990711,82.883333,10.493333,13653.333333,0.000000
schubfach,verify,large,valid,3,0,20.303320,30.374064,31.269242,22.510095,36.064667,10.028000,12533.333333,0.000000
json-canon,canonicalize,medium,valid,3,3,6.861258,8.425036,8.564038,6.780515,2.408333,4.802000,8060.000000,2.039324
schubfach,canonicalize,medium,valid,3,3,2.983982,3.897822,3.979052,3.223142,1.701667,1.663000,8060.000000,4.181985
json-canon,verify,medium,valid,3,0,9.511758,10.121739,10.175960,9.319969,3.433333,6.575333,8060.000000,0.000000
schubfach,verify,medium,valid,3,0,7.819470,8.937364,9.036732,7.565610,1.830667,6.289667,8060.000000,0.000000
json-canon,canonicalize,mixed-prod,valid,3,3,7.431485,7.701901,7.725938,7.081603,1.360667,6.259667,8090.666667,0.769731
schubfach,canonicalize,mixed-prod,valid,3,3,6.776568,7.064444,7.090033,6.665287,0.996667,6.274333,8060.000000,0.811913
json-canon,verify,mixed-prod,valid,3,0,9.480706,9.748884,9.772722,8.960668,2.812000,6.740333,8152.000000,0.000000
schubfach,verify,mixed-prod,valid,3,0,7.226865,9.528463,9.733049,8.024602,2.978000,5.653333,8152.000000,0.000000
json-canon,canonicalize,number-heavy,valid,3,0,5.743073,7.467571,7.620860,5.865704,1.080000,5.238667,8152.000000,0.000000
schubfach,canonicalize,number-heavy,valid,3,0,6.152319,7.005172,7.080981,6.393379,1.016333,5.747000,8152.000000,0.000000
json-canon,verify,number-heavy,valid,3,0,6.638521,6.936086,6.962536,6.552280,1.062667,5.930667,8152.000000,0.000000
schubfach,verify,number-heavy,valid,3,0,5.868427,6.226079,6.257870,5.945949,1.021000,5.306333,8152.000000,0.000000
json-canon,canonicalize,single-quote,invalid,3,0,7.033339,7.199629,7.214411,6.784378,1.185667,6.130333,7200.000000,0.000000
schubfach,canonicalize,single-quote,invalid,3,0,5.562178,5.771475,5.790079,5.596595,1.218667,4.784000,7093.333333,0.000000
json-canon,verify,single-quote,invalid,3,0,6.322837,6.524744,6.542691,6.315824,0.654667,6.161333,7200.000000,0.000000
schubfach,verify,single-quote,invalid,3,0,5.711340,6.092696,6.126594,5.031330,1.670667,3.866667,7200.000000,0.000000
json-canon,canonicalize,small,valid,3,3,3.354938,3.402974,3.407244,3.216806,1.681333,1.670333,8152.000000,0.013416
schubfach,canonicalize,small,valid,3,3,5.506435,6.301356,6.372016,5.213923,0.314667,5.099667,8152.000000,0.008656
json-canon,verify,small,valid,3,0,7.342717,7.953461,8.007749,7.128808,1.638667,5.955667,8152.000000,0.000000
schubfach,verify,small,valid,3,0,5.331410,6.892354,7.031104,5.854525,1.498000,4.847000,8152.000000,0.000000
json-canon,canonicalize,trailing-comma,invalid,3,0,6.277393,6.731821,6.772215,6.338949,1.932333,4.894667,7200.000000,0.000000
schubfach,canonicalize,trailing-comma,invalid,3,0,5.624223,5.903025,5.927807,5.725983,0.626667,5.528333,7200.000000,0.000000
json-canon,verify,trailing-comma,invalid,3,0,6.847793,7.279677,7.318067,6.741082,1.680000,5.526333,7200.000000,0.000000
schubfach,verify,trailing-comma,invalid,3,0,5.979422,6.305297,6.334263,5.948243,1.548333,4.807000,7200.000000,0.000000
json-canon,canonicalize,truncated,invalid,3,0,6.918974,7.577807,7.636370,6.958202,1.434667,5.956000,7200.000000,0.000000
schubfach,canonicalize,truncated,invalid,3,0,5.804329,6.577003,6.645685,5.996234,2.031000,4.455000,7200.000000,0.000000
json-canon,verify,truncated,invalid,3,0,6.168124,7.797596,7.942438,6.744751,1.782000,5.484000,7200.000000,0.000000
schubfach,verify,truncated,invalid,3,0,5.566855,7.441396,7.608022,6.197538,0.736000,5.813333,7200.000000,0.000000
