track,impl,mode,workload,class,n,successes,oracle_passes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
e2e,json-canon,canonicalize,array-2048,valid,3,3,3,6.991855,7.178446,7.195032,6.815872,4.924667,3.693333,8800.000000,13.888837
e2e,schubfach,canonicalize,array-2048,valid,3,3,3,5.015517,5.710729,5.772526,5.085742,3.313000,2.611333,8800.000000,18.759612
e2e,json-canon,verify,array-2048,valid,3,3,3,6.567541,8.181705,8.325187,7.076715,6.572333,2.747333,8906.666667,13.536627
e2e,schubfach,verify,array-2048,valid,3,3,3,6.461049,6.587579,6.598826,6.193642,4.001667,3.907667,8853.333333,15.325900
e2e,json-canon,canonicalize,array-256,valid,3,3,3,2.855367,2.862331,2.862950,2.841777,1.057000,1.880333,8800.000000,3.998538
e2e,schubfach,canonicalize,array-256,valid,3,3,3,1.462775,2.331235,2.408432,1.768538,0.501667,1.319000,8960.000000,6.825573
e2e,json-canon,verify,array-256,valid,3,3,3,2.408522,2.421342,2.422482,2.335875,0.498000,1.918333,8800.000000,4.875965
e2e,schubfach,verify,array-256,valid,3,3,3,2.067183,2.290198,2.310021,1.927586,0.741000,1.224667,8906.666667,6.172259
e2e,json-canon,canonicalize,bad-literal,invalid,3,0,3,1.246017,1.842322,1.895327,1.461514,0.747000,0.751667,8906.666667,0.000000
e2e,schubfach,canonicalize,bad-literal,invalid,3,0,3,1.437840,1.610751,1.626121,1.490970,0.000000,1.534667,8960.000000,0.000000
e2e,json-canon,verify,bad-literal,invalid,3,0,3,1.803075,1.826878,1.828994,1.781794,0.000000,1.859000,8906.666667,0.000000
e2e,schubfach,verify,bad-literal,invalid,3,0,3,1.675130,1.683088,1.683795,1.669536,0.288000,1.431667,8906.666667,0.000000
e2e,json-canon,canonicalize,bad-number-leading-zero,invalid,3,0,3,1.172376,1.676006,1.720773,1.357121,0.601000,0.793333,8960.000000,0.000000
e2e,schubfach,canonicalize,bad-number-leading-zero,invalid,3,0,3,1.616376,1.715000,1.723766,1.640769,0.299333,1.390000,8853.333333,0.000000
e2e,json-canon,verify,bad-number-leading-zero,invalid,3,0,3,1.258737,1.810929,1.860013,1.442018,0.420667,1.092000,8906.666667,0.000000
e2e,schubfach,verify,bad-number-leading-zero,invalid,3,0,3,1.542601,1.635207,1.643438,1.371796,0.258000,1.142667,8906.666667,0.000000
e2e,json-canon,canonicalize,bad-unicode-escape,invalid,3,0,3,1.255978,1.283222,1.285644,1.195549,0.458000,0.812667,8853.333333,0.000000
e2e,schubfach,canonicalize,bad-unicode-escape,invalid,3,0,3,1.537310,1.734466,1.751991,1.486616,0.408000,1.125667,8906.666667,0.000000
e2e,json-canon,verify,bad-unicode-escape,invalid,3,0,3,1.769870,1.892924,1.903862,1.622717,0.000000,1.650333,8800.000000,0.000000
e2e,schubfach,verify,bad-unicode-escape,invalid,3,0,3,1.356430,1.581583,1.601597,1.331408,0.908333,0.469667,8906.666667,0.000000
e2e,json-canon,canonicalize,canonical-minimal,valid,3,3,3,1.761661,1.869225,1.878787,1.634776,0.000000,1.688667,8960.000000,0.004210
e2e,schubfach,canonicalize,canonical-minimal,valid,3,3,3,1.672489,1.715356,1.719166,1.684234,0.000000,1.731667,8800.000000,0.003965
e2e,json-canon,verify,canonical-minimal,valid,3,3,3,1.333669,1.542569,1.561138,1.408020,0.458333,0.979333,8906.666667,0.004770
e2e,schubfach,verify,canonical-minimal,valid,3,3,3,1.669826,1.681495,1.682533,1.645991,0.284333,1.413000,8906.666667,0.004059
e2e,json-canon,canonicalize,control-escapes,valid,3,3,3,1.519954,1.807058,1.832578,1.490291,0.382667,1.146000,8853.333333,0.039406
e2e,schubfach,canonicalize,control-escapes,valid,3,3,3,1.170453,1.726754,1.776203,1.330098,1.055333,0.309667,8800.000000,0.044697
e2e,json-canon,verify,control-escapes,valid,3,3,3,1.628174,1.758825,1.770439,1.504286,0.189000,1.372333,8906.666667,0.038972
e2e,schubfach,verify,control-escapes,valid,3,3,3,1.612578,1.704917,1.713125,1.526929,0.410000,1.165333,8800.000000,0.037534
e2e,json-canon,canonicalize,deep-64,valid,3,3,3,1.509272,1.965109,2.005628,1.656464,0.831667,0.862333,8800.000000,0.300094
e2e,schubfach,canonicalize,deep-64,valid,3,3,3,1.761691,1.807290,1.811344,1.756929,0.289000,1.527333,8906.666667,0.277034
e2e,json-canon,verify,deep-64,valid,3,3,3,1.832778,1.911935,1.918971,1.774897,0.653667,1.192667,8853.333333,0.276053
e2e,schubfach,verify,deep-64,valid,3,3,3,1.155553,1.263648,1.273256,1.178690,0.000000,1.242000,8906.666667,0.414129
e2e,json-canon,canonicalize,duplicate-decoded-key,invalid,3,0,3,1.378449,1.481843,1.491033,1.396762,0.449000,0.984333,8853.333333,0.000000
e2e,schubfach,canonicalize,duplicate-decoded-key,invalid,3,0,3,1.415419,1.626797,1.645586,1.453392,0.437667,1.064667,8800.000000,0.000000
e2e,json-canon,verify,duplicate-decoded-key,invalid,3,0,3,1.628044,1.892706,1.916232,1.549380,0.000000,1.606667,8906.666667,0.000000
