goos: linux
goarch: amd64
pkg: github.com/lattice-substrate/jcs-bench-lab/internal/apibench
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     478	   2512845 ns/op	  39.36 MB/s	 4939283 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     469	   2537954 ns/op	  38.97 MB/s	 4939273 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     465	   2561612 ns/op	  38.61 MB/s	 4939277 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     472	   2544812 ns/op	  38.86 MB/s	 4939274 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     465	   2535923 ns/op	  39.00 MB/s	 4939272 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     477	   2540744 ns/op	  38.93 MB/s	 4939273 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     476	   2552682 ns/op	  38.74 MB/s	 4939281 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     477	   2555568 ns/op	  38.70 MB/s	 4939277 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     469	   2530258 ns/op	  39.09 MB/s	 4939271 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     477	   2545119 ns/op	  38.86 MB/s	 4939273 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3709	    305020 ns/op	  39.06 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3770	    302814 ns/op	  39.34 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3778	    305681 ns/op	  38.98 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4088	    306392 ns/op	  38.88 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3654	    308428 ns/op	  38.63 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4039	    308990 ns/op	  38.56 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3747	    304615 ns/op	  39.11 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3932	    305909 ns/op	  38.95 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4087	    302389 ns/op	  39.40 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3830	    304428 ns/op	  39.14 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3407454	       349.9 ns/op	  20.00 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3366597	       353.2 ns/op	  19.82 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3413079	       346.1 ns/op	  20.22 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3443103	       350.1 ns/op	  19.99 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3390112	       353.3 ns/op	  19.81 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3411320	       352.2 ns/op	  19.87 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3465036	       349.7 ns/op	  20.01 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3419881	       353.3 ns/op	  19.81 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3332086	       352.9 ns/op	  19.84 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3332534	       352.3 ns/op	  19.87 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  917191	      1336 ns/op	  44.15 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  976040	      1338 ns/op	  44.09 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  841918	      1369 ns/op	  43.09 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  814348	      1338 ns/op	  44.09 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  808771	      1333 ns/op	  44.25 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  886202	      1335 ns/op	  44.20 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  935079	      1336 ns/op	  44.15 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  904431	      1332 ns/op	  44.30 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  860222	      1335 ns/op	  44.19 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  792528	      1338 ns/op	  44.08 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   31626	     36456 ns/op	  31.76 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   33164	     36692 ns/op	  31.56 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32515	     36838 ns/op	  31.43 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32926	     37150 ns/op	  31.17 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32594	     36506 ns/op	  31.72 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32984	     36325 ns/op	  31.88 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32407	     36880 ns/op	  31.40 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32803	     36476 ns/op	  31.75 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32647	     36853 ns/op	  31.42 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32798	     37078 ns/op	  31.23 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   72900	     16165 ns/op	  31.55 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   73424	     16156 ns/op	  31.57 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   72788	     16243 ns/op	  31.40 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   74965	     16145 ns/op	  31.59 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   74778	     16079 ns/op	  31.72 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   73726	     16256 ns/op	  31.37 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   73376	     16394 ns/op	  31.11 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   73606	     16316 ns/op	  31.26 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   73662	     16218 ns/op	  31.45 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   74056	     16333 ns/op	  31.22 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1714909	       709.9 ns/op	  25.36 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1709782	       708.5 ns/op	  25.40 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1703248	       710.8 ns/op	  25.32 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1701009	       706.1 ns/op	  25.49 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1675246	       708.6 ns/op	  25.40 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1688067	       700.1 ns/op	  25.71 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1683034	       704.2 ns/op	  25.56 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1686862	       710.7 ns/op	  25.33 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1694190	       707.6 ns/op	  25.44 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1680192	       709.9 ns/op	  25.36 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      97	  11886132 ns/op	  39.00 MB/s	20914313 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	     100	  11968205 ns/op	  38.73 MB/s	20914314 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      93	  11848165 ns/op	  39.12 MB/s	20914284 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      94	  12066435 ns/op	  38.42 MB/s	20914279 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      91	  11915242 ns/op	  38.90 MB/s	20914303 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      96	  11926425 ns/op	  38.87 MB/s	20914296 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	     100	  11908389 ns/op	  38.93 MB/s	20914312 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      93	  11911359 ns/op	  38.92 MB/s	20914285 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      96	  11897376 ns/op	  38.96 MB/s	20914296 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      98	  11909701 ns/op	  38.92 MB/s	20914313 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   16018	     75676 ns/op	 216.75 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   16152	     76458 ns/op	 214.54 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   15738	     75415 ns/op	 217.50 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   15590	     75140 ns/op	 218.30 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   16269	     75640 ns/op	 216.86 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   15920	     75433 ns/op	 217.45 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   15981	     74279 ns/op	 220.83 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   15294	     76030 ns/op	 215.75 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   15178	     77652 ns/op	 211.24 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   15268	     76583 ns/op	 214.19 MB/s	   35948 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3382	    341561 ns/op	  40.23 MB/s	  618687 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3495	    343644 ns/op	  39.98 MB/s	  618687 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3614	    338552 ns/op	  40.58 MB/s	  618688 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3531	    337063 ns/op	  40.76 MB/s	  618688 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3205	    342962 ns/op	  40.06 MB/s	  618687 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3464	    343354 ns/op	  40.02 MB/s	  618688 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3374	    343999 ns/op	  39.94 MB/s	  618688 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3514	    337239 ns/op	  40.74 MB/s	  618687 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3495	    341526 ns/op	  40.23 MB/s	  618687 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/medium-20             	    3578	    341160 ns/op	  40.27 MB/s	  618687 B/op	    6380 allocs/op
BenchmarkAPICanonicalizeSchubfach/mixed-prod-20         	    8564	    139060 ns/op	  40.65 MB/s	  256989 B/op	    2340 allocs/op
BenchmarkAPICanonicalizeSchubfach/mixed-prod-20         	    8491	    137418 ns/op	  41.14 MB/s	  256989 B/op	    2340 allocs/op
BenchmarkAPICanonicalizeSchubfach/mixed-prod-20         	    8899	    135983 ns/op	  41.57 MB/s	  256989 B/op	    2340 allocs/op
BenchmarkAPICanonicalizeSchubfach/mixed-prod-20         	    7966	    136470 ns/op	  41.42 MB/s	  256989 B/op	    2340 allocs/op
BenchmarkAPICanonicalizeSchubfach/mixed-prod-20         	    8293	    135735 ns/op	  41.65 MB/s	  256989 B/op	    2340 allocs/op
BenchmarkAPICanonicalizeSchubfach/mixed-prod-20         	    7748	    136347 ns/op	  41.46 MB/s	  256989 B/op	    2340 allocs/op
BenchmarkAPICanonicalizeSchubfach/mixed-prod-20         	    8947	    136575 ns/op	  41.39 MB/s	  256989 B/op	    2340 allocs/op
